,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X600741.SH,X000100.SZ,X002241.SZ,X600809.SH,X300014.SZ,X002371.SZ,X000596.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X000977.SZ,X002007.SZ,X000625.SZ,X300124.SZ,X002129.SZ,X000157.SZ,X002456.SZ,X002180.SZ,X600584.SH,X300136.SZ,X600118.SH,X000066.SZ,X300142.SZ,X002008.SZ,X600271.SH,X002463.SZ,X002179.SZ,X002414.SZ,X002049.SZ,X002185.SZ,X000050.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119803121816495,0.369852239885329,0,0,0,0,0,0.0364573570221839,0,0,0,0,0,0.226285729959877,0.0201453079264738,0,0.0620502621231856,0,0,0,0,0,0,0,0,0,0,0.128458457174506,0.0312206541081287,-0.0181232810197775,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0.0551271150727787,0,0.0372419722871884,0,0.00601747524181349,0,0,0,0,0,0,0,0,0,0,0.0119953877696501,0,0.0383872783191332,0.0340633931882393,0,0,0.253018362682931,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306301423642508,-0.0106501895526174,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.160881356496046,0,0.216275782923644,0,0.220015843794724,0,0,-0.0472524845325788,0.269792712182491,-0.0379755424983167,0,0,0,0,0,0,0.165210029302825,0,0,0,0,0,-0.00664976732373571,0,0,0,0,0,0,0,0,0,0,0,0,0.046084246137435,0,0,-0.0357942442583267,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174600538670054,0,0,0.0163055925687239,0,0,0,0,0,0,0,0.182852680843169,0,0.103432751792809,0.129932170141513,0,0,0,0.121202463727822,0,0,0,0,0,0,0,0.0348100191529933,0,0,0,0,-0.00873351271172666,0,0,0,0,0,0
X002185.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489757610057982,0,0,0,0,0,0,0.213639226601454,0,0.0763560258331821,0.0656085198451762,0.187290483944341,0,0,0,0,0,0,0.041925042385149,0,0,0,0,0,0.228005995854834,0,-0.006218264369888,0,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0.0461025016026176,0.214415598914419,0,0,0,0,0,0,0,0,0.198948205063955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367736260656306,0,0.0546554761725322,0,0,0,0,0.150627875369461,0,0,0,0.154146608228601,0,0,0,0,0,0,0,0,-0.00360933445292006,0,0,0,0,0,0
X002156.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181383529120235,0.181584995424406,0,0,0,0,0,0.0607212624127414,0,0,0,0,0,0.228943820047573,0.0860812732547803,0.132643257645377,0,0,0,0,0,0,0,0,0.061021987888488,0,0.0941926702015374,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153470632301502,0,0,0,0,0,0.0925831540642201,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193837275253528,0,-0.139653009962334,0,-0.0611901754394749,0,0,0,0,-0.0399335261740127,0,0,0,0.194661087121915,-0.278950829506193,0,0.126945557482094,0,-0.011554134477274,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0846699374226643,0,0,0,0,0,0,0,0,0,0,0,0.283889218936791,0,0.654225076024141,0,0,0,-0.428205913445168,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834355054907434,0,-0.120547821900482,0,-0.0362865684227729,0,0,0,0,-0.0173092286974703,0,0,0,0,0,0,-0.00660445135539848,0,0,0,0,0,0,0,0,0,-0.58576435491014,0,0.175427724532728,-0.146115537888714,0.518937990317871,0,0,0,0,-0.224014827568862,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771954072123597,0,-0.0071670020531293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363807615709696,0,0,0,-0.0337914070329547,0.0873218219735679,0,-0.00418236144499961,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,-0.0079821502003962,0,0,0,0,0,0.0175480883068879,0,0,0,0,0,0,0.087175495990216,0,-0.0637054079747856,0,0,0,0,0,-0.0902949849003807,0,0,0,0,0,0,0,0,0,0,0.0461593950270589,0,0,0,0.124191608047153,0,0,0,0,0,0,0.280748303116325,0,0,0,0,0,0.0256632868646617,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,-0.0949102791717102,0.269210425838544,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105833079690699,0.165047031532841,0,0,0.12638557409473,0,0,0,0.272265554618969,0,-0.0887116043008954,0,0,0,0,0,-0.331036869149472,0.192532838569221,0,0,0,0,0,0,0,0,0,-0.0173830523048282,-0.0544662608846048,-0.458442405622914,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000220010188230414,0,0,0,0.0263603572798253,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332508182488379,0,0,0,0,0,0,0,0,-0.001395454396244,0,0,0,-0.00250945504095349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801490833846968,-0.00718241497021619,0,0,0,-0.0247200882473795,0,0
