,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600276.SH,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X000338.SZ,X002241.SZ,X000100.SZ,X002475.SZ,X600066.SH,X002236.SZ,X601877.SH,X600118.SH,X002456.SZ,X600271.SH,X000157.SZ,X600177.SH,X300124.SZ,X600372.SH,X600522.SH,X600089.SH,X002085.SZ,X002007.SZ,X002508.SZ,X000981.SZ,X000066.SZ,X300003.SZ,X002294.SZ,X600699.SH,X000559.SZ,X600867.SH,X002292.SZ,X002180.SZ,X300136.SZ,X000623.SZ,X002074.SZ,X600498.SH,X600809.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000063.SZ,0,0,0,0.202694704014416,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378721656808527,0,0.268243658027707,0,0.0878225311505194,0,0,0,0,0.000289127326238335,0,-0.024368935531031,0,0,0,0.0343495245363662,0.0301490750046429,0,0.0134084634462406,0.000657109725424955,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0699866680272645,0,0.101914673353842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25023356112125,0,-0.137287314082575,0,0,0,0,0,0,0,0,0,0,0,0,0.0579154423808377,0,0,0,0.251165170690103,0,0,0,0,0,0,0,0.309277985514796,0.173307003251566,0,0.00636424154089238,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133775864352948,0,0,0.65805509544261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000397736042905796,0,-0.00564799424907989,0.000904759020682197,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.321371168073616,0,0,0,0.00486708103534496,0,0,0,0,0,0,0,0.0844624594227679,0,0,0,0,0,0.218306761651543,0,0,0,0,0,0,0,0,0,0.0375133507931543,0,0,-0.14720843982551,0,0,0,0,0,0,0.0235052983940751,0,0.0706008630075571,0,0,0,0,0,0.0075829333328375,-0.00496203671984267,0,0,0,0,0,0
X600741.SH,0,0.472524074355943,0,0,0.152182534906512,0,0,0.0573360262142996,0,0,0,0,0,0.05201315429899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0930154349011858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118969787793413,0,0,0,0,0,-0.0094897802563977,-0.00334028081432526,0.0012133053228007,0,0,0,0,0,0
X000338.SZ,0,0,0,0.0182495598868097,0,0,0,0,0,0,0.0549930171655858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357113990788585,0,0,0,0,0.148792759731288,0,0,0,0,0,0.149806207580356,0,0,0,0,0.326773497891809,0,0,0.088271808657329,0,0,0,0,0,0.00941119900290356,-0.0116530375587559,0,0,0,0,0,0
X002241.SZ,0,-0.0236070663453884,0,0,0,0,0.0463341700826439,0,0,0,0,0,0,0,0,0.0556069137345484,0,0,0,0,0,0,0,0.123876469117506,0,0,0,0.0669412285646411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889022950307158,0,-0.115244843913008,0.254524001282357,0,0,0,0,-0.000917262860988979,0.000777269224357769,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0.140982499238133,0,0,0,0,0.0890843008604982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102649891999504,0,0,0,0,0,0,0.0324591417304025,0,0,0.106372646896967,0.0340647158721292,0,0,0,0,0,0.00268983913494,0,0,0,0,0.0407745440895175,-0.00652438977243705,0,0,0,0,0,0
X002475.SZ,0.184239094565221,0,0,0,0,0,-0.257565375837162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117179738983362,0,0,0.226179613815348,0,0,0,0,-0.191957202831653,0,0,0,0,0.00935064612092069,0,-0.00259655982447726,0,0,0,0,0,-0.0707321097821366,0.126772016473297,0.16176999588089,0.0982157995816884,0,0,0,0,0,-0.0407655231202968,0.0103971330302247,0,0,0,0,0,0
X600066.SH,0,0.126095080363291,0,0,0.0714774924743354,0.0144551804109938,0,0,0,0,0,0,0,0,0,0.00552348428302588,-0.1740928165705,0,0,0,0,0,0,0,0,0,0,0,0,0.151663124954117,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.172359916603911,0,0,-0.0131933662185267,0,0.15548841430812,-0.0456303023010312,0.0192430927624371,-0.0524816090203037,0,0,0,0,0
