,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X600031.SH,X000725.SZ,X003816.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X000661.SZ,X600089.SH,X002180.SZ,X601877.SH,X000100.SZ,X300142.SZ,X002241.SZ,X000733.SZ,X600702.SH,X600522.SH,X600741.SH,X002074.SZ,X000157.SZ,X000799.SZ,X600460.SH,X600584.SH,X300003.SZ,X600779.SH,X002007.SZ,X600884.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002007.SZ,0,0,0,0,0,0,0,0,0,0.607520877818164,0,0.126246670346758,0,0,0,0,0,0,0,0,0,0,0,0.0547261451320972,0,0.441696783329336,0,0,0,0,0,-0.0270233548829268,0,0,0,0,0,0,0,0,0,0,-0.159966206775641,0,0,0,0,0,0,0,0.094693611437157,0,-0.0359559473213632,0,0.236435863510161,0,0,0,0
X600884.SH,0,0,0,0,0.0763678223730766,0,0,0,0,0,0,0,0,0,0,0,0,0.0533766556356696,0,0,0,0,0,0,0.154123701203203,0,0,0,0.164409805043134,0,0,0,0,0,0,0,0.120243306605768,0,0,0,0,0,0,0,0,0,0,0,0.18712648498809,0,0,0.000803150688736838,0.0228207872155954,0,0,0,0,0,0
X300146.SZ,0,0,0,0.22014503699703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.361880564302309,0,0,-0.00538190582837319,0,0.0144066813785163,0,0,0.0340462374853261,0,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188006045482188,0,0,-0.0930959433182522,0,0,0,0,0,0,0,0.107934672862381,0,0.387528050696593,0,0.1386925499232,0,0,0,0,0,-0.249109833600502,0,0,0,0,0.149224897342683,0,0.106339618609514,0,0,0.0532988218329781,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0,0,0,0.225501303609143,0,-0.126758076182075,-0.112421948531521,0,0,0,0,0,0,0,-0.115721445932757,0,0,0,0,0,0,0,0,0,0,0.241088138373712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141444527400449,0,-0.0254405699918703,0.0573135254376629,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0.133704490678944,0,0,0,0,0,0,0.114561522418862,0,0,-0.217263077280502,0,0.0698313782274538,0,0,0,0,0,0,0,0,0,0,0,-0.0726652575174116,0,0.083235116103294,0,0,0,0,0,0,0,0.552510118961138,0,0,0,0,0.062325815040056,0,-0.0218654810145069,0.0444630493382447,0,0,0,0,0,0
X600563.SH,0,0,0,0,0,0,0,0,0.0824509065410621,0,-2.16840434497101e-19,0.206998996607224,0,0,0,0,-0.316576519093232,0,0.23960812861963,-0.0783399357686123,0,0,0,0,0,-0.0368838953774821,0,0,0,-0.0871599674958158,0,0,0.13196362495834,0,0,0,0.0281349717573378,0,0,0,0,0,0,0,0,0,0,0.181420631457975,0,0,0,-1.73472347597681e-18,0.0231647426965559,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,-0.0725731567126861,0,0,0,0,0,0,-0.146360064269447,0,0,0,-0.151513246809014,0,0,0,0,0,0,0.150252486900354,0,0,0,0,0,0,0,0.0804291609752515,0.251724539737232,0,0,0,0.12688877934013,0,0,0,0.133311656920737,0.1454854537004,0,0,0,0,0,0,0,0.0101879516963229,-0.134921101786,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310236236167496,0,0,0,0.501035432879457,-0.904600422523088,0,1.05106186725946,-0.197315096423288,0,0,0.81038187312952,0.127598287544518,0,0,0.427076070016793,0,0,0,-0.511927437993625,1.05843389768738,0,0,0.590173086464681,0,0,0,0.228972493502997,0,-1.26721629195307,0,0,0,0.092731102003685,0,0,-0.510518813967985,0,0,0,0.392463182351595,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0.294571445798633,0,-0.472980337669063,0,0,0,0,0,0,0,0.263990933220198,0,0,0.235235454314555,0.501857650758804,0,0,0,0,-0.366385081896394,0,0,0,0.198079322654831,0,0,0,0.206029291363482,0,0,0,0,0,0,0,0,0,0.212695444827737,0,-1.99252030435419,-0.0202922597920295,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554989943908314,0,0,0,0,-0.0331296667578087,0,0,0,-0.0911120345355457,0,0,0,0,0,0,0,0,0,0,0,-0.0386545099486221,0.129608497055484,0,0.0812095823857577,0,0,0,0,0,0.0172222283581609,0.000786496888218075,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865434177238161,0,0.0832102176557804,0,0.0909829872926499,0,0,0,-0.0445123121315341,0,0,-0.0127959156113039,-0.0953430697800808,0,0,0,0,0,0,0,0.00736269887706333,0,0.00546441827502563,-0.103762555426661,0,0.0756065568546439,0,0,0,0.030964160622286,0,0,0,0,0,0
MKvol,0.00181285589477831,0,0,0,0,0,0,0,0,0,0,0.00102110552471421,0,0,0,0,0,0.000210696200077162,0,0,0,0,0,0,0,0,0,-0.000785535298523394,0,0,0,0,-0.000165787497387546,0,0.000735787346535979,0,0,0,0,0,-0.000144832875159149,0,0,0,0,0,0,0,0,0,0,-0.0024830589839877,0.000962852613782456,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00128528997324668,0,0,0,0,0,-0.00451132819096182,0,0,0,0,0,0,0,0,0,-0.00977510663017581,0,0,0,-0.00122639793071116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102864082426362,-0.0160384745881793,0.020396039524844,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0.0018452499938747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00525204174521203,-0.00868932189144844,0,0,-0.00426718004672581,0,0,0,0.00283154830116452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00172838609324264,0,0,0,0,0,0,0,0,-0.000107057129982336,-0.00496436550515677,0.0049812396927626,-0.0109600719634872,0,0,0,0,0,0
CarbonVol_Hubei,-0.00674276157425926,0,0,-0.00610734762969419,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000804795078430489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419931656139299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045694773210117,0,0.0153057446063494,0,-0.0269157242200415,0,0,0,0,0
