,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X000625.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X000100.SZ,X002508.SZ,X601877.SH,X300124.SZ,X002085.SZ,X300003.SZ,X300136.SZ,X002008.SZ,X600177.SH,X600522.SH,X600271.SH,X000157.SZ,X002007.SZ,X002294.SZ,X600089.SH,X600118.SH,X600487.SH,X600867.SH,X600566.SH,X600809.SH,X600699.SH,X300115.SZ,X600372.SH,X000559.SZ,X002180.SZ,X000066.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,0,0,0,0.0834868127875794,0,0,0,0.0832488536486325,0,0,0,0,0,0,0,0,0,0,0.180889919531347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126500793609128,0,0,0,0,0,-0.0555572751499326,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0.113651446882182,0,0.627810386923321,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0147988848650729,0,0,0,0,0,0,0.0141480769238718,0,0,0,0,0,0,0,0.0376556131952079,0,0,0,0,0,0,0,0,0,0.128688423834772,0,0,0,0,0,0,0.0435079294129231,0,0.00747651278291631,-0.0036700582909112,0,0,0,0,0,0
X000625.SZ,0,0.367003239022048,0,0,0,0,0,0,0.101907833007523,0,0,0,0,0,0,0.075423141129674,0,0,0.381051091444361,0,-0.0866626561434443,0,-0.000436509123168792,0,0,0,0.154890555396554,-0.000585932168101655,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,8.67361737988404e-19,0,0,-0.201180228320442,0,-0.0526518095144375,0.0637814282499751,0,0,0,0,0,0
X600741.SH,0,0.529871319045781,-0.0125477392000941,0,0,0,0.126830756009476,0.0605792027739448,0,0.147585331026692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702655744685279,0.071043746483946,0,0,0.00453031564451406,0,0,0,0,-0.0385992847675645,0,0,0,0.0565517795989054,0,0,0,0,0,-0.0327114977053539,0,0,-0.0410487462999792,0,0,-0.0241315738403933,0.00825817178265349,0,0,0,0,0,0
X002475.SZ,0,0,0.0124477571501634,0,0,0,0,0,0,0,0,0,0,0,0,0.0923567916159883,0.065134175009826,0,0,0,0,0,0,0,0,0,0,0.33186621990071,0,0,0,0,0,0,0,-0.0565687093425365,0,0,0,0.100685155626963,0,0,0,0,0.0116155007836849,0,0,0,0,0.0062103806495352,0.024379487837901,0,0,0,0,0,0
X002236.SZ,0,0,0,0.0773514503165019,0,-0.0873242657726179,0,0.205271391769045,0,0,0,0,0,0,0.273670204119741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159732998638324,0,0,0,0.011146336135363,0,0.420659451669188,0,0,-0.366555342680704,0.262068201637968,0,0,0.010433742251695,-0.00942507951137886,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206932762133339,0,0,0,0,0,0.100220805035743,0,0.236820692099189,0,0,0,0,0.0391228288198664,0.154264519761971,0,-0.0623364583978408,0,0,0,0,0,0,0,0.0472497922439841,0,0,0,0.211390242112636,-0.0761382881412308,0.244465067225733,0,0,-0.0320463555782815,0,0.0383458842408147,0.0307095993918344,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.0993191013546953,0,0,0,0,0.0839249643119054,0,0.0288556839249242,0,0,0,-0.0705428106064841,0,0,0,0,-0.188186100808753,0,0,0,0,0,0,0,0,0,0,0.347289288476088,0,0,0,0,0,0,0,0,0.128314378407709,0,0,0,0.186722355924551,0.0475459632044856,3.46944695195361e-18,0,0,-0.0228817605462768,0,0,0,0,0,0
X600066.SH,0,0,0,0.241160755350097,0,0,0,0,0,0,0,-0.069010046059341,0.0631758172553414,0,-0.407096144947904,0.17740045283846,0,0,0,0,0,0,0.124299467994261,0,0,-0.157118676821594,0,0,0,0,0,0,0,0,0,-0.22457828735494,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00221040860648671,0.0112805001376972,0,0,0,0,0,0
X000338.SZ,0,0,0.0292299827649412,-0.157309117883633,0.173035797259125,0.192374661705648,0,0,0.0413001365455905,0,0,0,0,0,0,0,0,0.0380408569565722,0,0,0,0,0,0.0977296824001183,0.121251248913539,0,0,0.0178899892973698,0,0,0,0,0.338159568818991,0,0,0,0,0.0483541033962822,0,0,0.00781378361711073,0,0,0,0.0784716364915541,0,0,0.0230791197561877,0,8.67361737988404e-19,-0.0222071456149444,0,0,0,0,0,0
