,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X000792.SZ,X600795.SH,X002466.SZ,X000708.SZ,X601699.SH,X600010.SH,X600111.SH,X002460.SZ,X000301.SZ,X600362.SH,X000983.SZ,X000877.SZ,X600027.SH,X600426.SH,X600803.SH,X600160.SH,X600489.SH,X000786.SZ,X601991.SH,X600985.SH,X000408.SZ,X000630.SZ,X002271.SZ,X000933.SZ,X000932.SZ,X600176.SH,X000807.SZ,X601168.SH,X600612.SH,X600348.SH,X002128.SZ,X300037.SZ,X600219.SH,X600096.SH,X000027.SZ,X600995.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822599146835825,0,0,0,0.249481333611032,3.46944695195361e-18,0,0,0,0,0,0,0,0.12452620088916,0,0.0212789309402447,0,0,0,0,0,0.0256779922309099,0.317189341440006,0,0,0,0.0352115866557436,0,0,0.0987439833218937,0,0,0,0,0,0,0.0212743371261328,-0.00997203695343193,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0565396054222043,0,0,0,-0.0153424110393472,0,0,0,0,0,0,0,0,0.0239534433478172,0,0,0.0714530118970327,0.23349653973976,0,-0.0537676947840555,0.243504372449725,0,0,0,0,0,0,0,0,0,0,-0.0839202623557571,0,0.0398489116922917,0,0,0,0.067532054120826,-0.0634465928304031,0,-0.0200505731495364,0,0,0,0,0,0,0
X600995.SH,0,0,0,0,0,0,0,0,0,0,0,0.0795166900073067,0,0.13298923261245,0.00681578651114861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539266928266984,0,0,0.0535627497553824,0,0,0,0.0283743847886882,0,0,0,-8.67361737988404e-19,0,0.22648936441085,0,0,0.0534675096376569,0,0,0,0,0,0,0,-0.0229214340409169,0,0,0,0,0,0
X600157.SH,0,0,-0.0265540021360869,0,0,0,0,0,0,0,0,0,0,0,0,0.079859214918513,0,0.221034866033059,0,0.1606955652301,0,0,0,0,0,0,0,0,0,0.00149470958373307,0,0.0380821706965706,0.0233574179818142,0,0,0.102991707871752,0,0,0.0954333392959241,0,0,4.33680868994202e-19,0,0,-0.000520153367423887,0,0,0,0,0,-0.0263046542039799,0,0.00113784680244885,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31018336034039,0,0,0,0,-0.217243604689054,0,0,0,0,0,0,0,0.354790588403032,0.0519280307693573,0,0,-0.12309461142127,0,0,0,0,0,0,0,0,-0.286994656724419,0,0,-0.0330400443743692,0,0.332694892898797,0,0,0,0,-0.00768112403524763,0,0.122982837642473,-0.135624695450449,-0.0546202359701713,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,-0.391180457715575,-0.975297098460487,0,0,0,0,0,0,0,0,0,0,0.763623667115636,0,0,0.184800521557455,0,0.216540755903679,0,0,1.0489089302307,0,0,-0.185281396584412,0,0,0,0,0,-0.56423496807394,0,0,0,1.38777878078145e-17,0,0,0,0.460785371979396,0,0.537048282468019,0,0.91796127365384,0,0,0,-3.35165061696481,0,0
TED,0,0,0,0,0,0,-0.211100020272276,0,0,0,1.62683271120341,0,0.338887556074623,0,0,0,0,-0.0485758773262234,0,0.0958073982646577,0,0,0,-0.172602314544431,0.687905874525284,0,0,0,0,0,0,0,0,0,0,0.0870614765793171,0,0.00632015261910235,0,0,0,0,0,0,0,0,0,0,0,-0.559518055234878,-0.479474477449347,1.25089460018103,0,0,0,0,0,0,0
RealEstate_excess,0.22897678267118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177905206698193,0,0,0,0,0,-0.0558483977835511,0,0,0,0.0568482800799506,0,0,0,0,0,-0.0409894839573624,0,0,0,0,0,0,-0.00653059368158397,0,-0.134828960634685,0,-0.306924321433916,0,0,0,0,0,-0.0290532424380705,0,0.199181565565736,0,0,0,0
MKreturn,0.188292651407224,-0.112694177358783,0,-0.0103079085328127,-0.0773268435973125,-0.0785050884813978,0,0,0,0,0,0,0,0,0,-0.00992930964244369,0,0,0.0203673031301608,0,0,0,0,0,0,0,0,0,0,0,0.0642046923290393,0.0165946358953945,0,0,0,0,0,0,0.0294287043049021,0,0,0,0,0,0,0,0,0,0,0,-0.100721833109703,0.0282698850176599,-0.0265259690285333,0.303046942115077,0,0,0,0,0
MKvol,0,0,0.00112060652028791,0,0,0,0,-0.000406357667086263,0,0,0,0.00241215728351205,0,0,0,0,0,0,0,0.00130590062957976,0,0.00140440560508009,0,0,0,0,0,0,0,0.0016099993112354,0,0,0,0,0.000406395369287036,-1.35525271560688e-20,0,0,0,0.00146756531409191,0,0,0,0,0,0,0,0,0,0,0,0.00173679559344179,-0.00166238276572339,0,0,0,0,0,0
