,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X000898.SZ,X600176.SH,X601992.SH,X600516.SH,X002466.SZ,X600111.SH,X000709.SZ,X600352.SH,X002460.SZ,X600299.SH,X600489.SH,X000629.SZ,X600808.SH,X000786.SZ,X601158.SH,X600801.SH,X600219.SH,X000825.SZ,X000553.SZ,X600583.SH,X000883.SZ,X002110.SZ,X002271.SZ,X600157.SH,X002470.SZ,X600021.SH,X600612.SH,X600339.SH,X000408.SZ,X601699.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002470.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329445455349107,0,0,0.097429018315921,0,0,0,0,0,0,0.0917624432824,0,0,0.0741069967830657,0,0.0576034817266591,0,-0.464142264380093,0,0,0,0,0.102765748902435,0,-0.010644668413715,-0.0254187434858953,0,0,0,0,0,0
X600021.SH,0,0,0,0.00353702053415977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101682596703982,0,0.134251400998605,0,0,0,0,0,0,-0.0351658513391565,0,0,0,0,0,0,-0.0533335392549833,0,0,0,0.225049697011122,0,0,0,0.0750197522137167,0,0,0,-0.0271641361109892,-0.244136221567256,-0.0453716392404468,-0.0147046831353553,0,0,0,0.0500356884963599,0,0
X600612.SH,0,0.0804670818824413,-0.124490153000268,0,0.2030442111308,0.186771406342804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0466904466542898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.222127531713549,0.257744450913991,0,0,-0.260757000125886,0,8.67361737988404e-19,0,0.0581533214659601,-0.0473052048631511,0,0,0,-0.0326852459673935,0,0
X600339.SH,0,0.0875725665459632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0344990143124029,0,0,0,0,0,0.150886328061992,0,0,0,0,0.139269112342451,0,0,0,0,0.0545556174728201,0,0,-0.0379125156582363,0.0523502205093974,0,0,0,0.116598314406518,0,0
X000408.SZ,0,0,0,0,0,0,0,0,-0.0241921579773808,0,0,0,-0.0145499771736744,0,0,0,0,0,0,0,0,0.129655832503982,0,0,0,0,0,0.101711225869925,0.134413942877734,0,0,0,0,0,0,0,0,0.0711099084310756,0,0,0.208308305730033,0,0,0,0,0,-0.0858250047020653,0,0,0.0343947708743681,0,-0.0226286854476698,0.0342642385561633,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0.190268544369329,0,0,0,0,0,0,0,0,0,0,0,0,0.0409693814020277,0,0,0,0,0.0521915736215912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931284037763136,0.0443086067524592,0,0,0,0.0254046771024606,0,0,0.027666745553434,0,0.0101596540372585,0.0174733959951576,0,0,0,0.0581471718954205,0,0
X600985.SH,0,0,0,0,0,0.233184850972522,0,0,0,0,0.074219412375236,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0746007373533147,3.46944695195361e-18,0,0,0,0,0,0,0.057676539733219,0,0,0.195153063963154,0,0,0,0.00263287094110692,0.0650622268267875,0.0856068752941809,0,0.118470299462659,0.0798663884720143,0,0,0,0,0.0247298154044465,-0.0253803503990427,0,0,0,0.0267545374725584,0,0
Change_TY3M,0,0.0132370358314797,0.00712054039143729,0,0,0,0.0895699302787851,0,0,0,0,0,0.0637760435893581,0,0,0,0,0,0.127130820698775,0,0,0,0,0,0,-0.153425225922293,0,0,0,0,0,0,0,0,0,-0.0161006507873911,0,0,0.143994238877429,0,0.0652993146395001,-0.0686982924379692,1.73472347597681e-18,-0.0586551453277904,-0.0841831227793083,0,0,0,0,0,0,0.0434114290299145,-0.167843753180875,0,0,0,-0.0101215816063669,0,0
Slope,0,0.0694462223467472,0,0,0,0,0,0,0,0,0,-0.479017804711153,0,0,0,0,0,0,-0.0428529584366463,0,0,0.997652257661047,-0.219126134605344,0,0,0,0,0,0,-0.434291892449196,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.237002574919303,0,-0.329150571909918,0,0,0.896073706861997,0,0.75282503734514,0.924394656638607,0,0,-2.50951344804806,-5.46843533206096,0
TED,0,0,0.861593713921587,0,0,0,0.0471692615009436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239481323205299,0,0,-0.300635881739855,0,-0.351789549678069,0,0,0,0,0,0,0,0.491939759564219,0,0,0,0,0,0,0
