,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000630.SZ,X000408.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X000723.SZ,X002128.SZ,X601168.SH,X600157.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0.0128558792411116,0.0552658406781963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471869375300981,0,0,0,0.0071600574629674,0,0,0.127504547524546,0.364264458438943,0,0,0,0,0,0.0276256920254944,0,0,0,0,0.00852042506866496,0,0,0,0,0,0,0
X600660.SH,-3.46944695195361e-18,0,0,0,0,0,0,0.0307912889643478,0,0,0,0,0,0,0,0,0,0,0.0346308646983851,0,0,0,-0.0753957847129594,0,0,0,0,0,0,0,0,0,0,0,0.182042127432179,0.123444598346202,0,0.0460592840708743,0,0,0,0,0,0,0.0693144648902606,0,0,0,0,0,-0.166786788847929,-0.0162417394855198,0.0387628831438699,0,0,0,0.0133728536987099,0,0
X600886.SH,0.0404327864916377,0.105453051053599,0,0,0,0,-0.0703707722649649,0.243932090929005,0,0,0,0,0,0,0,-0.0316770562066213,0,0,0,0,0.168532547293013,0,0,0,0.11042744782513,0,0,0,0.132890558745352,0.296005530193326,0,0,0,0,0,0,0,0,0,0,0,0,-0.212892451153577,0,0,0,0,0,0,0,0,-0.00885336699741314,0,0.0421974398461268,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0356640505757032,0,0,0,0,0,0,0,0,0.313941252161113,0.0669532851070648,0,0,0,0.244369602160077,0.0506100988412377,0,0,0,0,0.0151582469557018,0.0354283855803696,0,0,0,0,0,0,0.0844222205803899,0,0,0,0.0546067079770637,0,0,0,0,0,0,0,0,0,0,0,0,-0.0836651146388712,0.00682652461645781,-0.0227750958741394,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549418947088027,0,0.723168602788027,0.0264864808529514,0,0,0,-0.0730637813153021,0,0,0,0,0.107703598868252,-0.0144296695951597,0.00278140725595687,0,0.0199016161407095,0,0,0,0,0,0,0,0,0,0,0,0,0.081989843398809,0,0.0635100631345715,0.0482739270798794,0,0,0,0,0,-0.00303608427211733,0,0,0,0,0,0,0
X002460.SZ,0,0,-0.018877505711414,0,0,0,0,0,0,0,0,0,-0.0702391570833586,0,0.680274603771679,0,0,0,0.173767925696864,0,0,0,0,0,0,0,0,0.0356462350040872,0,-0.00574487786146943,0,0,0,0,0,0,0,0,-0.100553221769629,-0.00453550760383533,0,0,0,0,0,0,0,0,0,0.0627033876127995,0,0.0124271289244284,0,0,0,0,0,0,0
X600111.SH,0.038991768682408,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571393454905927,0.167914834368119,0,0,0,0,0.0226044867950246,0,0,0,0,0,0,0,0,0.257424356851599,0,0,0,0,-0.0425125297261343,0,0,0,0,0,0,0.0241873348567337,0.107004008857451,0.0665336580893149,0,0.102548378641176,0,0,0,0.202316822783641,0,-0.0229542755121082,0.0436693554260782,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,-0.065627087626559,0,0,0,0,0,0.0019009679473498,0,0.510402579698444,0,0.140735352765577,0,0.237304108632519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460615141280579,0.0867112619827423,0,0,0,0.0277608892651002,0,0.00719305623690031,0.00344260839232409,0,0,0,0.076562877040907,0,0
X000708.SZ,0.271388827012811,0,0,0,-6.93889390390723e-18,0.0103082409218612,0,0,0,0,0,0,0,0,0,0.168909533392925,0,0,0,0,0.156521938709078,0,0.0444093785183392,0,0,0.118853159542467,0,0.0285821535916593,0,0,0,0.0300800998979365,0,0,-0.228564397946236,0.19293368962105,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100714510342093,0.125649694228214,-0.00879544090330458,0.00551106913387089,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218764456599067,0,0.11069916440391,0,0,0,0,0,0,0.204321351891871,0.0307151364115173,0.0794199840318308,-0.0204761847849848,0,0,0,0,0,0,-0.0113267524990891,0,0,0,0,0,0,0,0,0.0476641042609317,0,0.0880597903843464,0,0,0,0,0,0.0998115622351831,-0.00896056915993611,0,0,0,0,0.00475225311016134,0,0
