,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X000568.SZ,X600104.SH,X002304.SZ,X000725.SZ,X000661.SZ,X600031.SH,X000063.SZ,X600809.SH,X003816.SZ,X600690.SH,X002241.SZ,X000596.SZ,X600703.SH,X000338.SZ,X002007.SZ,X300142.SZ,X300124.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X600741.SH,X002049.SZ,X601877.SH,X300003.SZ,X002236.SZ,X000157.SZ,X600584.SH,X002129.SZ,X000800.SZ,X002414.SZ,X300136.SZ,X600183.SH,X000625.SZ,X002179.SZ,X000977.SZ,X000066.SZ,X002456.SZ,X600118.SH,X601799.SH,X002185.SZ,X000050.SZ,X002008.SZ,X002294.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600183.SH,0,0,0,0,0,0,0,0,-0.110094915128148,0.112233996416648,0,0,0,0,0,0,0,0,0.156339328353665,0,0.0130147126340331,0,0,0,0,0.0201357225821057,0,0.0740377552563151,0,0,0.0995786849326318,0,0.11204936172055,0,0,0,0,0,-0.0177328238070498,0,0,0.19222460712387,0,0.0382133101659781,0,0,0,0,-0.135173258133754,0,0,0.0360027210021755,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412696193555206,0,0,0,0,0,0.0111659083557475,0,0.0656445084247392,0,0.145625454808975,0,0,0.18187817682118,0,0,0,0,-1.0842021724855e-19,0,0,0.0257568509111515,0.12315057806971,0,0.0431521201707665,0.312153424102193,0,-0.0452457618079394,0,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0.0423825652373537,0,0,0,0,0,0,0.0385469486498646,-0.00523832463199425,0,0,0,0,0.143582910763483,0.110219357141275,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0568805047281633,0,0,0,0,0,0,0.219339778249537,0,0,0.346391988934291,0,0,0,-0.00595342004512844,0.00880414439820329,-0.0224999258562546,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0.0175224663729879,0,0,0,0,0,0,0,0,0,0,0,0.0738299340632221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723167143589098,0.54435857059932,0,0,0,0,0,0.0973377075654323,0,-6.93889390390723e-18,1.38777878078145e-17,0,0.0987357140012245,0.313500859380322,0,-0.0574381180505418,0.0185922776275971,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263723593544221,0,0,0,0,0,0,0,0.159124820432724,0,0,0,0.126858148726838,0,0,0.196143627330277,0,0,0.0115200434383313,0.251171611783129,0.10945089342139,0,0,0,0,0,0,0.151051908890199,0.0293495130314471,0,0,0,0,0.0494788501615644,0.0069486340109158,0,0,0.00643848705750895,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,-0.0328081483986723,0,0,0,0,0,0,0,0.0874262324028321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582646982713537,0,0,0,0,0,0.120174320890375,0,0,0.305871994023632,0,0,0,0.272273682257854,0,0,0.096445936791618,0,0,0,-0.00126994010882433,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0.0961311302539234,0,0,0,0,0,0,0,0,0,0,0.011911460812486,0,0,0,0.0477111343004758,0,0,0.114830007212063,0.13506637401753,0.242233442683994,0,0,0,0,0,0,0.154713162989461,0,0,-0.236444573943761,0,0,0.330394670477848,0,0,0,0,0,0,0,0,0,0,0,0.0480502490231914,0,0,0,0,0,0,0
X601799.SH,0,0,0,0.114356688280109,0,0,0,0,0,-0.0451894076519697,0.125175707087156,0,0,0,0,0,0,0.087525623544242,0,0,0,0.112451796816689,0.129373922128234,0,0,0,0,0,0,0,0.0694239251957284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198091243877711,-0.0493202588846408,0,0.0225297691836681,0,0,0.025849167928589,0,0,0,0,0,0
X002185.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854158801696625,0,0,0.0672481183955284,0,0,0,0,-0.0624117211454456,0,0,0.0327593079832286,0,0,0,0.144093261934584,0,0,0,0,0,0,0,0,0.137921249924122,0.434661434053217,0,0,0,0,0,0.0249588261945732,0,0,-0.0160562684447586,0.00582507207894594,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0.233163007053175,0,0,0,0,0,0,0,0,0,0,0,-0.0320813909787269,0.109392927452182,0,0.243179129997743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355771685393947,0,0,0,0.0683640624311701,0,0,0,0,0.0862893765078414,0.021227558987136,0.0269717575812281,0,0.0175452491593512,-0.00649505855662521,0,0,0,0,0,0
