,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X000559.SZ,X002241.SZ,X002292.SZ,X600066.SH,X002129.SZ,X600089.SH,X600741.SH,X002475.SZ,X002236.SZ,X601877.SH,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X002465.SZ,X000568.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X600252.SH,X002456.SZ,X000977.SZ,X002276.SZ,X002179.SZ,X002008.SZ,X000066.SZ,X002242.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600089.SH,0,0,0,0,0,0,0,0,0.466414641149112,0.0277060525973824,0,0,0,0.0277083529227469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262231291247903,0,0,0,0,0,0.0149177059159219,0.183638785875814,0,0,0,-0.015591467718359,0,0,0,0,0,0,0
X600741.SH,0,0.0019589327663019,0,0,0,0,0,0.232697831421945,0,0,0.0224409297730631,0,0,0.0753828126672794,0,0,0,0.210118396644053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328097467289379,0,0,0,0,0,0,0.202777316664531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0.181402035816134,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.2396410679591,0,0.151675925410201,0,0,0.119140255146649,0,0,0,0,0,0,0,0,0,0.125947058944829,0,0,0,0,0,-6.93889390390723e-18,0.0478280744529019,0,0,0,0,0,-0.065453557452261,0,0,0,0,0.00150797457069826,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0.0317603406766473,0,0,0,0,0,0,0,0,0.110864752775952,0,0,0,0.0520811754799796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931791962383552,0.293596892547665,0.0731709879041429,0,0,0,0,0,0,0,0,0.0620564902158147,0,0.0120789734973209,0,0,0,0,0,0,0
X601877.SH,-0.000448274677995977,0,0,0,0,0,0,0,0,0,0,0,-0.000480360016195621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00129271880423754,0,0.000857312514243452,0,0,0,-0.000112089037715573,0.000559512055126138,0,0,0,0,0,0
X600839.SH,0,0,0,0,0,0,0,0,-0.0930032146913739,0,0,0.221661018147174,0,0,0,0,0,0,0,0.043929842282288,0,0,0,0,0,0,0.0411841678064255,0,0,0,0.186416585305125,0.167541702627322,0,0,0,0,0,0.10656972422531,0.108554484972701,0,0,0,0,0,0,0,0,0,0,0,0.103238169862955,-0.116007131453182,0,0,0,0,0,0
X000547.SZ,0,0,-0.0614906253893482,0,0,0,0,0,0,0,0,0,0,0,0,0.20377645996497,0,0,0,0.145906587874276,0,0,0,0,0,0,0,0,0,0.0317932236734161,0,0,0,0,0,0.0610807743784211,0,0.095185098904722,0,0,0,0,0,0.171971692577967,0,0,0,0,0,0,-0.0383095144533702,0.000828639246358835,0,0,0,0,0,0
X600177.SH,0,0,0,0,0.082579414710045,0,0,0.0827937650323411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245300929052638,0,0.0276585424543103,0,0,0,0,0,0,0,0,0,0.368991074934943,0,0,0,0,0,0,0,0,0.0421758935474533,0,0,-0.0213525503032188,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0696618835054479,0,0,0,0,0,0,0,0.176439402088816,0.0107996492913955,0,0,0,0,0.0937607245964848,0.0683032810716981,0,0,0,0,0,0,0.0766026257384631,0,0,0.136556626825401,0,0,0,0,0,0.162749701151821,0,0,0.184210001272013,0,0,0,0,-0.0592233836280603,0.0687389653120899,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0.0565891659799315,0,0,0,0.0510029452204282,0,0,0.177408154912222,-0.0504656676688558,0,0,0,0,0,0,0,0,0,0,0.0221566525113347,0,0,0,0,0,0.0800525122200404,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0470143351437404,0,0.222571759982106,0,0,0,0,0.0201788019461604,-0.0172797826330157,0,0,0,0,0,0
