,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X000708.SZ,X600547.SH,X600660.SH,X002271.SZ,X600362.SH,X600011.SH,X601600.SH,X000786.SZ,X600886.SH,X600426.SH,X600176.SH,X601898.SH,X600010.SH,X002466.SZ,X000301.SZ,X600188.SH,X600801.SH,X600352.SH,X600111.SH,X600489.SH,X300037.SZ,X600795.SH,X601991.SH,X600486.SH,X600688.SH,X600803.SH,X002353.SZ,X002080.SZ,X600027.SH,X600299.SH,X600219.SH,X601992.SH,X601168.SH,X000932.SZ,X000898.SZ,X600529.SH,X002409.SZ,X600399.SH,X000630.SZ,X600315.SH,X000807.SZ,X000878.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000898.SZ,0,0,0,0,0,0.0655751598572241,0.0111710644812791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138504301415997,0,0,0,0,0,0,0,0,0,0.152390190669726,0,0,0.162635118942341,0,0,0,0.00415508716111729,0,0,0,0.104055941394045,0,0,0.0139636953467275,0,0,0,0,0,0,0
X600529.SH,0,0,0,0,0,0,-0.168024752300998,0,0,0,0,0,0,0,0.350592291098535,0,0,0,0,0,-0.0300187322932387,0,0,0,0.259671625970497,0,0,0,0,0,0,0,0,0.132462549993149,0,0,0,0,0,0,0.243394363814095,0,0,0,-0.373603593302047,0,0,-0.0843554952507378,0,0,0,0,-0.00300662472721741,0,0,0,0.0376830923343728,0,0
X002409.SZ,0,0,0,0,0,0,0,0,0,-0.173949856041748,0.0609930626329024,0,0,0,0,0,0,0,0,0,0.0382001142015548,0,0.131111196657707,0,0,0.0931857060047805,0,0.240152754682255,0,0,0,0,0.0573644184787441,0,-0.2785688173256,0,0,0,0,0,0,0,0,0,0,0,0.263784844724181,0,0,0,0,-0.0260464530792624,0.0736130984096419,0,0,0,-0.00602147045820127,0,0
X600399.SH,0,0,0,0,0,0,0.397814621930131,0,0,0.0885839094947607,0,0,0,0,0,0,0,0,0,0,-0.17575286417702,-0.108035342087996,0,0,0.126750329439966,0,0,0,0,0,0,0,0,0,0,0,0,0.279300438270176,0,0,0,0,-0.243081858106115,0,0,0,0,0,0,0.161951443080216,0,0,0.0195982288403415,0,0,0,-0.00976672044434616,0,0
X000630.SZ,0,0,0,0,0,0.0708139656320644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137508107638314,0,0,0,0,0.0829410033615289,-0.0467875764460325,0,0,0,0,0,0.110181115953237,0.0100324979415296,0,0,0,0,0,0,0,0.353218017969169,0,0,0.00250656525699049,0,0,0,0,0,0,0
X600315.SH,0,0,0,0,0,0,0.126884289329993,-0.000806060476392808,0,0,0,0.0183752639113279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113277347082178,0,0,0,0,0,0,0,0,0,0.17466666702746,0,0,0,0,0,0,0,-0.0133816049725907,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0.022323860640507,0,0,0,0,0,0.687381615108705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141599739467753,0,0,0,0,0,0,0,0,0,0,0,-0.0819946164273835,0,0,0,0,0,0.0203228791706766,0.0164678356576003,0,0.0161458598119281,0,-0.628211237237907,0,0,-0.00885632343207165,0,0
X000878.SZ,0,0,0,0,0,0,0,0,0,0,0,0.160717635218512,0,0.118150136230897,0,0,0,0,0,0,0,0,0,0,0.128854164724021,0,0,0,0,0,-0.0423565654104021,0,0,0,0,0,0,0.0181393882340005,0,0.264322563085212,0,0,0,0,0,0,0,0.227782811643634,0,0,0,0.0145218194558796,0,0,0,0,0.0195149443613282,0,0
X000723.SZ,0,0,0,0,0.0185657558642392,0,0.0792119012525006,0,0,0,0,0,-0.0578009908940101,0,0,0,0.0128999631544723,0,0,0,0.146569806702109,0.222736411870383,0.075590308881293,0,0,0,-0.0111857502312075,0,0,0,0,0,0,0.0497288698410469,0,0,0,0,0,0,0,0,0,0,0.0600149896242248,0,0,0,0,0,0,0,-0.0470624543641719,0,0,0,-0.0204015958584933,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869081100223443,0,0,0,-0.0382560992199332,0,0,0.0584527006009113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319366093766263,-0.0541036742761666,0,0,0,-0.0245907348803878,0,0
Slope,0,0,0,0,0,0,0,0,0,-0.359492207127754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490955553076853,0,0,0,0,0,-0.157646949937776,0,0,0,0,-0.294639195618757,0,0,0,0,0,0,0,0.958814591478357,0,0,0,-0.178296257645421,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,-0.109580028580473,0,-0.167720323480486,0,0,0,0.0792162872028319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686919458120309,0,0,0,0,0,0,-0.714709747667915,0.601106304495807,0,0,0,0,0.0840365060754841,0,0
RealEstate_excess,0,0,0,0,0,-0.0557433810766452,0.0291282023493027,0,0,0.0788032249668001,0,0,0,0,0,0,0.0910008411943811,0,0,0,0.0356583298260232,0,0,0,0,0,0,-0.0797964191774148,0,0,0,0,-0.0245827944025366,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.028357341047192,0.0451067747958789,0,0,0,0,0,0,0,0,0,0.0144859067911924,0,0,0,0.000638008747512942,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375511654837488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154738823924108,0,0,0,0,0,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000589775694399747,0,0,0,0,-0.00210999088963801,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156503532237753,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000726542702723315,0,0,0,0,0,-0.000802119531022031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00628245995539115,0,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113463581709823,-0.00271812473264666,0,0,0,0.0010661330136817,0,0
