,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600188.SH,X600362.SH,X601992.SH,X002466.SZ,X000898.SZ,X600176.SH,X600111.SH,X600516.SH,X002460.SZ,X000709.SZ,X600299.SH,X600352.SH,X600489.SH,X600808.SH,X601158.SH,X000629.SZ,X600801.SH,X600219.SH,X000786.SZ,X300072.SZ,X000825.SZ,X000883.SZ,X000553.SZ,X600583.SH,X000539.SZ,X000408.SZ,X000792.SZ,X601699.SH,X000301.SZ,X600339.SH,X002271.SZ,X600612.SH,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600339.SH,0.107271519832632,0.349955133847782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367891367472132,0,0,0,0,0,0,0,0,0,0,0,0.0580502275765289,0,0,0,0.0741894756741139,0,0,0,0.351279762373909,0,0,0,0,0.162815086907202,0,0,0,0,0,-0.00320212859371496,-0.0197192533528841,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0.046154955459648,0,0,0,0,0,0,0,0,0,0,0.126643974821534,0,0,0,0,0,0,0,0,0.204836177045593,0,0,0,0,0,0,0.537189402657825,0,0.0260423257519,0,0,0,0,0,0.10219098968869,0,0,0,0,0,0,0,-0.0162711292234134,0,0,0.108223116407981,0,0,0,0
X600612.SH,0,0,0,0,0,0,0,0.0634609786524183,0,0,0,0,0,0,0.0720590173808403,0,0,0,0,0.0492678778143294,0,0,0,0,-4.33680868994202e-19,0.0993106009468731,0,0,0,0,0,0,0,0,0,0,0.0777196888490899,0,0,0,0.129041423084408,0,0,0,0,0,0.0188741079422339,0,0,0,0,-0.0135249503937827,0,0,0,0,0,0,0
X002110.SZ,0,0,0,0,0,0,0.0453002118218047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423265145021111,0,0,0,0,0,0,0,0,0,0.424715951889833,0,0,0,0,0,0,0,0,0.193242692732262,0,0,0,0,0,0.0144450480015594,0.0475131462310327,0,0,0,0,-0.0112127526056036,0,0,0,0,0,0,0
Change_TY3M,0,0,-0.102677723650296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0346512431811583,0,0,0,0,0,0,0,0.0577351403643102,0,0,0,-0.263198147106435,0,0,0.128489324178676,0,0,0,0,0,0,0,0,0,0,-0.158711884982035,0,0,-0.00561386406332764,0,0,0,0,-0.0201905824666332,-0.0793405462275347,0,0,0,-0.0401437823015508,0,0
Slope,0,0,0,0,0,0,-0.308992093734189,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.673536024079962,0,0,0,0,0,0,0,0,0,0,0,0.457350873473927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9153661049149,0,0
TED,0,0,0,0.179328977435645,0,0.453966392105713,0,0,0,-0.385835626736034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118451175363024,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131461209366172,0,-0.673893012773281,0.0996278834083106,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0799421094480321,0,0,0,0,0,0,0,0,0,0,0,0.0597572163490121,0,0,0.0500239875667455,0.0744223700727517,0,0,0,-0.0489495974847962,0,0,-0.0510269882841819,-0.0995623408400018,0.035615639618343,0,0,0,0,0,-0.0102901856073497,0,0,0.143296534155589,0,0,0,0
MKreturn,0,0,0,0,-0.147269458245268,0,0,-0.0580405076423147,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0045973253709959,0,0,0,0,-0.128624118249738,-0.073568602873854,0,-0.105298400668878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00964246549229285,0,0,0,0,0,0.0765462243366443,-0.0104039989908144,-0.00773419584319475,0.397307766663599,0,0,0,0,0
MKvol,0.00117867568104519,0,0,0,0,0,0,0,0,0,0,0,0,0.00118300976402316,0,0,0,0,0,0,0,0,0,0,0.00236321534681667,0,0,0,0,0,0,0,-0.00425411701166659,0,0,0,0,0.00265002075784532,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00268437951997433,0.00133056391214057,0,0,0,0,0.0405614445432893,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104576423606696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00856744827812799,0,0.0186709249813065,0,-0.0254833186092071,0.0342628794337883,0,0,0,0,0,0,0,0,0,0,-0.0573062435252884,0,0,-0.0668441736699086,0.0423202840318441,0,0,0,0,0.576763897630606,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172134884058965,0,0,0,0,0,0,0,-0.0512418434322836,0.0635197529213644,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0.00754514667456971,0,0,0,0,0,0,-0.00795894356381723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00414814650431338,0,0,0,0,0,0,0,0,-0.00478316642724226,0.0111884803452455,0,0,0,0.0497628215240681,0,0
