,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600660.SH,X600547.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X601699.SH,X000708.SZ,X600426.SH,X600362.SH,X000301.SZ,X000877.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X002271.SZ,X601991.SH,X600160.SH,X600985.SH,X600176.SH,X000807.SZ,X000408.SZ,X000630.SZ,X000786.SZ,X000932.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X600688.SH,X000629.SZ,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600157.SH,0,0,0,0.027666313384567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230613049903785,0,0.0764531393295544,0,0,0,0,0,0,0,0,0,0,0,0.0126457015874224,0,0,0,0,0,0,0,0,-0.0512473841943697,0,0,0,0,0.0698523827916566,0,0,0,0.0193370779248318,0,0,-0.00999220794326264,0,0,0,-0.0232170776099049,0,0
X000723.SZ,0,0,0,0,0.0608606814508154,0,0,0,0,0,0,0,0,0,0,0,0,0.397047153685408,0,0,0,0,0,0,-1.73472347597681e-18,0.120088996947728,0,0,0,0.0978829754238733,0.116649760545155,0.120596256605157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147678796729192,-0.0269532463099065,0,0,0,-0.0744091863978729,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,-0.041141630641305,0,-0.0811943264393619,-0.0937672891187474,0,0,0.047936168394311,0,0,-0.246290155625546,0,0,0,0,0,0,-0.336561968976767,0.125206977147461,0.209162157107533,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133837072859792,0,0,0,0,0,0,0,0,0,0,0.0304931910337133,-0.0233461387910032,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164088817614455,0,0,0,0,0.567682235908398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0553710498409653,0,0,0,0,0,0,0,0,0,0,0,0,1.11341256076081,0,0,0,-2.11740336215468,0,0
TED,0,0,0,0,0,0,0,-0.205737978955092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548492199360926,0,0,0,0,0.386204632215416,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0.0803094893685822,0,0,0,0,0,-0.0183399241850422,0,0,-0.0569289940736318,0,0,0,0,0,0,0,0,0.00825043107440986,0,0,0,0.125194048092809,0,0,0,0,0,0,-0.059041222234468,0,0,0,0,0,-0.0243397677410834,0,0,0,0,0,0.000439627027997499,-0.0155551705467595,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0.141191183585904,0,0,0,0.0539507594571594,-0.113310999333641,0,0,0,0,0,-0.00705248391057826,0,0,0,0,0,0,0,-0.0287842407762607,0,0,-0.0728208267934908,0,-0.00382686711952664,0.0725471052726869,0,0,0,0,0,0,0.0373415754980451,0,0,0,0,0,0,0,0,0,-0.125951796953114,-0.00361468077263515,0.00430274329516642,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138164562581088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251752391127445,-0.00303089191778128,0,0,0,-0.00758637113881097,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00553840121432454,0,0,0,0,0,0,0
CarbonVol_Guangdong,0.00461402890904425,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,-0.000291167571661507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157966731892924,0,0,0.00251444408614066,0,0,0,0,0,0,0,0.00679004292804208,0.00507123614714276,0,0,0,0,0,0.00335751951987833,0,0,0,0.022664728485181,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125492831463663,0.00469684021629698,0,0,0,0.0435934260187566,0,0
