,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X002460.SZ,X600795.SH,X601699.SH,X000708.SZ,X000301.SZ,X600010.SH,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X600176.SH,X000933.SZ,X000932.SZ,X600348.SH,X600612.SH,X600219.SH,X601168.SH,X002128.SZ,X300037.SZ,X600157.SH,X000027.SZ,X600688.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002128.SZ,0,0,0,0,0.0519537423906689,0,0,0,0,0,0,0.0308416645495488,0,0,0,0,0,0.0647313101790991,0,0,0,0,0,0.00982105770518318,0,0,0.0373059080988816,0,0,0.0366648566037604,0,0,0,0,0,0,0,0,0.0943626586838505,0.0862064123746568,0.0497152207501812,0.00762254453891621,0,0,0,0.0242919992566797,0,0,0,0,0,0,-0.00660313626682751,0,0,0,0,0,0
X300037.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.233707216156749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817011170585295,0,0,0,0,0.163497282263741,0,0,0,0,0,0,0,0.179846952235568,0,-0.031304149761715,-0.0117518891946372,0,0,0,0,0,0
X600157.SH,0,0,0,0,0.071055918689584,0,0,0,0,0,0,0,0,0,0,0,0,0.0109012793731108,0,0,0,0,0,0.0117313769227816,0,0,0,0,0,0,0,0,0,0.159613204352235,0,0,0,0,0,0,0.0926737894929035,0.0452484071464732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00730281894805096,0,0,0,0,0,0,0,0,0.100787996549594,0.230289984508742,0,0,-0.0917924606430431,0.179009382273678,0,0,-0.0199326923413352,0.211415143630581,0,0,0,0,0,0,0,0,0,0,0,0.0373957212686024,0,0,0.0435151648372566,0,0.0214516271086589,-0.0222710875144901,0.00444596353768526,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23008432731937,0,0,0,0,0,0.0642483798859275,0.02203327289399,0,0.0145837905456249,0.276309854233356,0,0,0,0,0,0.00147395292776749,0,0,0,0,0,0,-0.00667314713839786,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0208004593752634,0,0,0.037100220123038,0,0,0,0,0,0.373567285272575,0,0.044759216333075,0,0,0,0,0,0,0,0.0209284174644277,0,0.10512843137996,0,-6.93889390390723e-18,0,0,0,0,0.200311537551739,0,0,0,0,0.0210715259512545,0,0,0,0,0,0.0255633655393135,-0.0213030140498546,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,-3.46944695195361e-18,0.137773865729313,0,0,0,0,0,0,-0.258703011338829,0,0,0,0,0,-0.0061671888252805,0,0,0,0,0,0,0,-0.0844096252701143,0,0,0,0,0,0,0,-0.213844380090205,0,0,0,0,0,0,0,0,0.0629410672759166,-0.0216398136572495,0,0,0,0,0.0700957499087881,-0.120229783594425,-0.0676534320242763,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,-0.755473139111608,0,-0.353855317378922,0,0,0,0,0,0,0.0898297870390934,0,0,0.753829507677001,0,0,0,0,0.130469921651247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159833220873982,0,0,0,0,0,0,0.796607543472493,0,0,0,-2.3780229494424,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0.365550769346201,0,0,0,0,-0.309837634532772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21388040694739,0,0,0,0,1.35640852720739,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0746234335850171,0,0,0,0,0,0,0,-0.0531922435187845,0,0,0,0,0,0,0,0,-0.0785281441534553,0,-0.0105500989171834,0,0,0,0,0,0
