,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600795.SH,X600688.SH,X600309.SH,X600660.SH,X300072.SZ,X601600.SH,X601991.SH,X600547.SH,X600188.SH,X600886.SH,X600362.SH,X600027.SH,X000709.SZ,X002466.SZ,X600157.SH,X600339.SH,X600111.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600008.SH,X600299.SH,X002271.SZ,X000883.SZ,X600176.SH,X600352.SH,X600219.SH,X600578.SH,X002460.SZ,X000723.SZ,X600583.SH,X000408.SZ,X000630.SZ,X000539.SZ,X600021.SH,X000027.SZ,X000792.SZ,X000786.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,-0.0144959131981662,0,0,0,0.299374845959948,0,0.0308408859688519,0,0,-0.0783388727946847,0,0,0,0.0635039708736214,0,0,0.144935329600676,0.00400663726721061,0,0,0,0,0,0,0.0446645253421027,0,0,0,0,0,0,0,0,0,0,0,0,-0.000801019136715596,0.0318729815173859,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275168681811336,0.0178272005041603,0.185982294564075,0,0,0,0.231526476613109,0.141360137549741,0,0,0,0,0.347018689467397,0,0,0.104771327678467,0,0.138214270118529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124840063611631,0,0,0,0,0,0
X600808.SH,0,0,0,0.0199416219953363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693104332700093,0,0,0,0,0.0549524554648426,0,0.076464883787824,0,0.0431066093206101,0,0,0,0,0,0.167924851951595,0,0,0,0,0,0.144978845850397,0,0,0,0,0,0,0,0,0.0151066022338847,0,0,-0.0162111084116044,-0.00947545881394083,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225122980348046,0.00308745845438796,0.0742881143346836,0,0,0,0,-0.00225193953444158,0,0,0.024390129304597,0,0,0.038608399164703,0,0,0,0,0,0,0,0,0,0,0.0110231852949864,0,0,0,0,0,0,0,0,0,0,0,0.00731678058090536,-0.00550280597545829,0,0,0,0,0,0
Slope,0,1.2164737160601,0.844624869028535,0,0,0,0,0,0,0,0,-0.41801844111905,0,0.193966797788171,0,0,0,0,0,0,0,0,-1.00732190510769,0,1.28472481101774,0,0,0.142866563045432,0,0,0,0,0,0,0,0,0,-0.4469909593563,0,0,0,0,0,-1.15681125974164,0,0,-0.617554832294899,0,0,0,0,0.222903756030925,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00923186598616682,0,0,0,0,0,0,0,0,0,0,0.072852148941193,0,0,0,0,0,0.0691725073116392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300529361467159,0,0,0,0,1.69798496509898,0,0
RealEstate_excess,0,0,0,0,-0.0885469111756748,0,0,0,0,0,0,0,0,-0.0505855697918438,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0855662284689525,0,0.0197413386741,0,0,0.138087952646691,0,0,0,0,0,-0.0618776548068853,0,0,0.0515131397915447,0,0,0,0,0,0,0,0,-0.00877940491304633,0.0537315957722351,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0595595788814004,0,0,0,0,0,0.0308887347577441,0,0,0,0,0,0,0,0,-0.00567075995685357,0,0,0,0,0,0,0.0206004566698224,0,0,0,0,0,0,0,0,0,0,0,0,-0.0029126257087681,-0.000548087382333185,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000180378239669376,0,0,0,0,0,0,0,0,0,0,0,0,0.00167795087655886,-0.00119690816080039,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013784061538371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101858363183079,0,0,0,0,0,0
