,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X000539.SZ,X601992.SH,X000027.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X002470.SZ,X000792.SZ,X600489.SH,X600623.SH,X600098.SH,X002353.SZ,X600547.SH,X600022.SH,X000629.SZ,X600307.SH,X600863.SH,X600808.SH,X300072.SZ,X600578.SH,X000060.SZ,X601918.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0,0,0.0239753212805327,0,0,0,0,0,0,0,0.113437999620844,0,0,0,0,0,0.245541439655854,0.0507840373236935,0,0,0,0,0,0,0,0,0.111588012392343,0,0,0,0,0,0.145222961973623,0,0,0,0,0,0,0,0,0,0,0,0.0592713929297487,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.00636762811523273,0.390276360614551,0,0,0,0,0,4.33680868994202e-19,0,0.0266941028402438,0,0,0,0,0.222171836613922,0,0,0,0.0911178237702441,0,0,0,0,0,0,0,0,0,0,0,0.0450194156095253,0,0,0,0,0,0,0,0,0,0.0675158287072013,0,0,0,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0.0457476462839758,0,0,0,0,0,0,0,0.404728701247943,0,0,0,0,0,0,0,0.0586913795836055,0,0.0620748185134297,0.0202352409776926,0,0,0,0.150670130762631,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482854093264201,0,0.0158930805612773,0.00904449404381852,0,0,0,0,-0.00170665149980044,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0.156820158432795,0,0,0,0,0,0,0,0.0619214321217703,0,0,0,0,0,0,0,0,0.0267954747919466,0,-0.152479752195221,0,-0.105784832780084,0,0,0,0.0436465732751206,0,0,0,-0.915413489222281,0,0,0,0.0163086960007596,0,0,-0.137749813779279,0,0,0,0,0,0.398748098689607,-0.188716883625944,-0.0264950242626244,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248808521044612,0,0,0,0,0,0.0715673899238424,0.392323860266523,0,-0.0719164633195863,-0.0239105792531722,0.0657460559109561,0,0,0,0,0
X600111.SH,0,0,0.0917968481012374,0.0703389444997935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438102022478168,0.170308566020787,0.0262379904422154,0,0,0,0,0,0,0.0229252881340379,0,0,0,0,0,0,0.182953788033138,0,0,0,0,0,0,0,0,0,0,0.101688202878235,0,0.132091193738558,0,-0.0265423943244667,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0375995568503354,0,0.0600214952365134,0,0,0,0,0,0,0,0.104513564683262,0.0125353551018047,0.179182938159603,0,0.0513932695204395,0,0,0,0,0,0.0363311193804782,0,0,0,0,0,0,0,0,0.00674925609169755,0,0,0,0.190926259857226,0.157163858393025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.082898891687867,0,0,0,0.217166392891446,0,0,0.137792701265034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206467903275849,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0365540885568858,0,0,0,0,0,0,0,0.0162695231973831,0,0.114655167643115,0,0,0.00903458001785733,0,0,0,0,0,0,0,0,0
X600583.SH,0,0,0,0.121433601719982,0,0,0,0,0,0.0961002825521275,0,0,0,0,0,0,0.214643353096978,0.177627812415626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108245267698961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335265193445927,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0.0105231719044781,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.124520652942699,0.112878011949775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.0292681387842349,0,0,0.545989160766961,0,0,0,0,0,0,0,0,0
