,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X300072.SZ,X600188.SH,X601991.SH,X600309.SH,X600157.SH,X600027.SH,X600886.SH,X601992.SH,X600660.SH,X600111.SH,X600489.SH,X000898.SZ,X000959.SZ,X600299.SH,X601158.SH,X000709.SZ,X000792.SZ,X600583.SH,X000723.SZ,X600339.SH,X002466.SZ,X000408.SZ,X600098.SH,X000630.SZ,X000883.SZ,X600352.SH,X600219.SH,X000539.SZ,X600021.SH,X000825.SZ,X000027.SZ,X002092.SZ,X000983.SZ,X600623.SH,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0,0,0,0,0.031286645500567,0,0,0.232087142240653,0,0,0,0,0,0,0,0,0.0247569368484228,0,0,0,0,0,0,0,0,0,0,-0.224076448873134,0,0,0,0.215581820144037,0,0,0,0,0,0.0466650426888242,0,0.123598440139242,0,0,0,0,-0.134608558033924,-0.0012980018408164,-0.00474003542483542,0,0,0,0,0,0
X600795.SH,0,0,0,-0.0486760698364319,0.236995576864915,0,0,0,0,0,0,0,0.0169625945968003,0,0,0,0,0,0,0,0,0.08410445911759,0,0.0419361506952693,0,0.0477230322551052,0,0,0,0,0,0,0,0,0,0.0981588291728692,0,0,0,0,0,0,0,0,0.0792817106409086,0,0,0,0.0205875109888004,0,-0.00685998426862924,0.00573388056790842,0.0548814865033462,0,0,0,0,0
X600362.SH,0,0,0,-0.0721648049060581,0,0,0,0,0,0,0.0507713954406361,0,0,0.0645434482931491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429402546389844,0,0,0,0.432668517854836,0,0,0.26145928077893,0,-0.00328570070341976,0.0650168345813571,0,0.0237778266491145,0,-3.46944695195361e-18,0.227740576219315,0.0981143024018046,0,-0.0178036901557263,0,0.072203825145346,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.14082955443822,0,0,0,0,0,0,0,0,0,0,-0.0283407898453269,0,0,0,0.0893618377184248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104215528140539,0,0.104993373304584,0.212285401452786,0.0118206758904373,-0.0136281515703504,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.306186193101869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318562330360686,0,0,0,0,0,0.108294434559914,0,0,0,0,-0.0616925825231871,0,0,0,0.14141102337643,0,0.142433413965394,0.0401253419970349,0,0.0127603116947576,-0.0047171082566911,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0.0316895698885467,0,0.0204315312954644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028172283422918,0,0.0897262843958082,0,0.0899533479347642,0.0259174754181962,0,0,0.0127013495578985,-0.0194464751710115,0,0,0,0,0,0
X600309.SH,0,0,0,-0.116847086327223,0,0,0,0,0,0,0,0,0,0.0638024120716406,0,0,0,0,0,0,0,0,0,0,0,0.257496948006806,0,0,0,0,0,0,0.0235680895538778,0,0,0,0,0,0,0,0,0,0,0.271785154879641,0,-0.0551803262743083,0,0,0.0498497416342706,0,-0.0170244256918706,0.00585055535003598,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0.0876159354656777,0,0,0,0.0109359790408485,0,0.278848869987056,0,0,0,0,0,0,0,0.144231964217972,0,0,0,0,0,0,0,0,0,0.218148028674168,0,0,0,0,0,0,0.00498970894546854,0,0,0.0107587965855389,0,0.0845563215233848,0,0,0,0.0118274283391062,0,0.00811722909822597,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0.0595304978642234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402453499900845,0,0.0152646262173456,0,0,0.0347646065837905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00915224326319638,0,0,0.0017289877932955,0,0,-5.42101086242752e-20,0.0112827899890954,0,0,0,0,0,0
X600886.SH,0.166272948766982,0,0,0,0,0,0,0,0,0,0.0215035306148404,0,0,0,0,0,0.0725485697248862,0,0,0,0,0.183883441350797,0,0,0,0.053737465906023,0,0,0,0,0,0,0,0,0,0.0474378779530976,0,0,0,0,0,0,0,0,0,0,0,0,0.0463361277751756,0,-0.0074973922765237,0.00873928643587411,0,0,0,0,0,0
