,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X600886.SH,X601898.SH,X601991.SH,X600660.SH,X600362.SH,X600795.SH,X600688.SH,X600188.SH,X600111.SH,X600352.SH,X600027.SH,X600801.SH,X000723.SZ,X601992.SH,X600489.SH,X002271.SZ,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X000709.SZ,X002460.SZ,X000629.SZ,X600299.SH,X002466.SZ,X000883.SZ,X601158.SH,X600219.SH,X002353.SZ,X600426.SH,X601699.SH,X600612.SH,X000630.SZ,X600583.SH,X000553.SZ,X600021.SH,X000401.SZ,X000027.SZ,X600985.SH,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600516.SH,0,0,0,0,0,0.0633510220737809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006581079507097,0,0.0382453140396115,0.150277395264405,0,0,0,0,0,0,0,0,0.109130579600225,0,0,0,0,0,0,0.00774301557141529,0,0,0,0,0,0,0,0,0,0.137360761746968,0,0,0.0167868656309003,0,0,0,0,8.67361737988404e-19,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297475441579562,0.168488093143257,0,0,0.0100542822861798,0,0,0,0,0,0,0.0241733170727276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472986707956832,0,0,-0.00662919798724766,0.0451824873067502,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0215199273982372,0.0522138795488031,0,0,0,0,0,0,0,0,0,0.0614893770390473,0.0468795472889859,0.698944872139018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131646403195586,-0.00495735310512376,0,0,0,-4.33680868994202e-19,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439649517114897,0,0,0,0.253487869301334,0,0,0,0.0704373005333124,0,0,0.0662008240741008,0,0,0,0.041020158260697,0,0.0170957722359314,0,0.156376732240546,0,0,0,0,0.0694410549733219,0.0136881027370049,0,0,0,0,0.00462033584578839,0,0,0,0.038623046288857,0,0,0,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261110630801892,0,0,0.0226761777276115,0,0,0,0,0.182379606541872,0,0,0,0.125482688603929,0,0,0,0,0,0.128626349196538,0.126095583920565,0,0,0.220791879704507,0,0,0,0,0.0760082582611792,0,0,0,0,0.00867689728829264,0.0245742160340837,0,0,0,0,0,0
X002466.SZ,0,0,0,-0.0944931142347362,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.0736972691255144,0,0,0,0,0,0.0608543035689956,0,0,0,0,0.115141826179195,0,0.677335200113184,0,0,0,0,0,0,0.0730371654209962,0,0,0,0,0,0,0,0,0,0.0413830365758942,0,0,-0.00415967637764048,0.022368587072745,0,0,0,0.00818932363942346,0,0
X000883.SZ,0,0,0,0,0,0.0917921158314764,0,0,0,0,0,0,0,0,0,0,0,0,0.0528914127564128,0,0,0,0.140841571170533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019780377133433,0.0416296677273448,0,0,0,-0.0202240505464796,0,0
X601158.SH,0,0,0,0,0,0,0,0.0316854844533818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522856147188263,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.102336942334517,0,0,0,0,0,0,0,0,0,0,0.0754815392692707,0,0.105663438510855,0,0,0,0.0123983841832632,0,0,0,0,-0.0188152806396944,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.162474555904908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128255295990852,0,0,0,0,0,0,0.0335147154213517,0,0.0147476397744591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00295553710505229,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,0,0,0.145623642518144,0,0,0,0,0,0,0,0,0,0,-0.028460310724293,0,0,0,0.0252442289577808,0,0,0,0,0,0,0,0,0,0,0.14288449346604,0,0.0570737740900683,0,0,0,0.314132738152831,0,0,0,0,0.201454978961459,0,0,0,0,0,-0.282097287098924,0.0713175933018898,-0.0574930958049278,0,0,0,0.0352713761549833,0,0
