,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X601991.SH,X600362.SH,X600795.SH,X600352.SH,X600688.SH,X600111.SH,X600801.SH,X000723.SZ,X600027.SH,X601992.SH,X600489.SH,X000786.SZ,X002271.SZ,X000898.SZ,X600176.SH,X600516.SH,X600612.SH,X600299.SH,X000709.SZ,X002460.SZ,X600426.SH,X601158.SH,X002466.SZ,X000883.SZ,X000629.SZ,X600219.SH,X002353.SZ,X000630.SZ,X000027.SZ,X600583.SH,X000825.SZ,X600315.SH,X000553.SZ,X601699.SH,X600985.SH,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600801.SH,0,0,0,0.443455677968577,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0756590366594783,0,0,0,0,0,0,0.00693561027986645,0,0,0,0.04734646583435,0.0458709045727349,0.000247965843378646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855055084290713,0,0.340705710869509,0,-0.00577195912397593,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0.175906537765734,0,0,0,0,0,0,0,0,0,0,0,0,0.366895593924745,0,-0.111187854166228,0,0,0,0,0.203384907191988,0,0,0,0,0,-1.38777878078145e-17,0.0709596824454509,0,0,0.438065935628693,0,-0.0906561728532038,0.0081851224066983,-0.118177885579613,0,0,0.693517055568522,0,0,0,0,0,0,0,0,0,0.0327020114965926,-0.0336627809684549,0,0,0,-0.0437908827430584,0,0
X600027.SH,0,0,0,0,0,0,0.0767059244434841,0.381793827485298,0,0,0,0,0.0994892509481256,0,0,0,0,0,0,0.0189022704181196,0,0.109176475947337,0,0,0,0,0.0262812978099529,0,0,-0.00943933828066656,-0.0113565582519251,0,0,0,0,0,0,0,0,0,0,0,0,-0.161122501272183,0,0,0,0,0,0.0419303153257635,0,0.0177692686265919,-0.0450800787445236,0,0,0,0.0882174255408217,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13663439482588,0,0,0,0.0219360427846184,0,0,0,0.0819701996032796,0,0,0,0,0,0,0,0.15317695933821,0,0.173286084249974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00975748644583757,0.00569145001387611,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0.681053594787235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713369789980404,0,0,0,0,0.0275199963007243,0,0,0,0.077445567791999,0,0,0,0,0,-0.113189365090315,0,0,0,0,0,0,0.240183776154441,0,0,0,0,0,-0.0248201674628668,0.0423467244874007,0.0126182115577094,0.00833466149525792,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0.205573404530055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.279536770929982,0.00677780023900379,0,0,0,0,0,0,0,0.0755593463104984,0.19093642273085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.088029460759458,0,0,0,0,0,-0.00116351393530716,0,0,0,0,0,0,0,0,0,0,0.0412214835708553,0,0,0,0,0.0767338075294955,0,0,0,-0.0439156413307323,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19048731735339,0,0,0,-8.67361737988404e-19,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.112259336455747,0,0.099333065796503,0,0.0244186201432999,0,0,0.0159841686922796,0,0,0,0,0,0,0,0.113947281132802,0,0,0,0,0,0,0,0.0260032290625617,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513535033167029,0,0,0,0,0.170499072916576,4.33680868994202e-19,0,0,0,0.0820298198849406,0.0606298061998405,0,0,0.0959739108771573,0,0,0,-0.0593497565072418,0,0,0,0,0,0,0,0,0,0,0.153868293481155,0,0.171979476683386,0,0,0,0,-0.00660948894678443,0.0162544566334489,0,0.163410853847089,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312739934865024,0,0,0,0,0,0,0.0621378785792157,0.0880547486846811,0,0.0893836798083673,0,0,0,0,0,0,0,0.0576468218427595,0,0,0,0,0.256800870202981,0,0,0,0,0,0,0,0,0,0,0.0780645970841838,0,0,0,0,0,0,0,0,0,0,0
