,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600019.SH,X600111.SH,X600011.SH,X002466.SZ,X601600.SH,X000877.SZ,X600010.SH,X002271.SZ,X000708.SZ,X601898.SH,X600660.SH,X600547.SH,X000301.SZ,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X000807.SZ,X601991.SH,X000786.SZ,X600795.SH,X600803.SH,X000983.SZ,X601699.SH,X002080.SZ,X000630.SZ,X000825.SZ,X600801.SH,X600688.SH,X600096.SH,X002353.SZ,X600141.SH,X000932.SZ,X600489.SH,X000960.SZ,X000959.SZ,X600027.SH,X600295.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600096.SH,0,0,0,0,0,0.0993563633522728,0,0.0966103759209734,0,0,0.126221997333936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0677508838087726,0.135252317012333,0,0,0,0,0,0,0.612102426323928,0,0,0,0,0,0,0,-0.0100185205111386,0,0.039490634929386,0,0,0,0.0447900231177762,0,0
X002353.SZ,0,0,0,0,0,-0.0666924165751304,0,0,0,0,-0.132305674453621,0,0.0512549687039802,0,0,-0.101890999384949,0,0,0,0,0,0,0,0,0,0,0,0,0.0758832645634079,0,0,-0.116500989604603,0,0.0349829145498284,0,0,0.167739037509309,0,0,0.252208775927741,0,0,0,0,0,0,0,0,-0.0515779773601072,0,0,-0.0613690081985716,0.0627419396849216,0,0,0,-8.67361737988404e-19,0,0
X600141.SH,0,0,0,0,0,0.133607342400443,0,0,0,0.362019323650917,0,0,0.0898463779666009,0,0,0,-0.174329386977606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200268004602716,0,0.197458524706141,0,0,-0.100694454360574,0,0.523684045381572,0,0,0,0,0,0,0,0,0,-0.0813815238682131,0,-0.00980637831886742,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0.218532804399134,0,0.0347123355921705,0,0,0,0,0,0.122665123642142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00455036070037845,0,0,0.0600687552643334,0,2.71050543121376e-20,0.0772553262108861,0,0,0,0,0,0,-0.0150823575752795,0,0.148826084441333,0,0.0747465346239936,0,0,-0.00686056115134721,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,-0.14256321349734,0,0.011113483687026,0,0.0261280053698571,0.0530517108285519,0,0,0.605076839544488,0,0,0,0.0509302597694664,0,0.045787465234138,0,0,0,0,0,0,0,0,0.0178929352693298,0,0.0903061328442381,0,0,0,0,0,-0.0246192024993014,0,0,0,0,0,0,0,0,0,0.0015472944917765,0,0,0,0.00376925440364207,0,0
X000960.SZ,0,0,0,0,0,0,0,0,0,0.125853817144916,0,0.0817884783216808,0.102659816302599,0,0,0,0.125874224174635,0,0,0,0.0368169562652036,0,0,0,0,0,0,0.0116054903442803,0.192106071557057,0,0,0.143428191501906,0,0,8.67361737988404e-19,0.0495020311514633,0,0,0,0.443173894876388,0.0547468629765407,0,0,0,0,0,0,0,0,0,0,-0.00230814392885674,0,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0636045309867705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591596695993385,0.122595628513917,0,0,0,0,0,0,0,0.0390965732335608,0,0,0,0.0557822658090119,0.103428534549543,0,0,0,0,0,0,0,0,0.0352245336178077,0,-0.00971293614396241,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0.291544423649186,0,0,0,0,0.0565106546409119,0,0,0,0,0,0,0.0762465855015575,0,0,0,-0.0306989023652533,0,0,0,0,0.342507467692556,0,0,0,0,0,0,0,0,0,0,-0.0541954148418067,0,0,0,0,0,0,0,0.272285193823287,-0.0185973675761206,0.0279853801695022,0,0,0,-0.011719253342698,0,0
X600295.SH,0,0,0,0,0,0.184486941966323,0,0,0.579399566423455,0,0,0,0,0,0,0,0,0.105354270022745,0,0,0,0,0,0.040693018328625,0,0,0.0503772586934013,0,0,0,0,0,0,0,0,0,0,0,0,0.102879665363214,0.103267276340528,0,0.155119581577145,0,0,0,0,0.131262237413117,0,0,0,0,-0.00190464258794255,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0.0470617331855232,0,0,0.0437937069643302,0,0.000136864622627222,0,0.0480571616319821,0,0,0,0,0,0,0,0.0196702141048659,0,0,0,-0.0208640311489501,0,0,0.152928996441529,0,0,0,0,0,0,0.0700035089275698,0,0,0,0,0,0,0,0,0,0.231521242134271,0,0,0,0,0.055648975130817,0,0,0,0,0.0736311416963907,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0309333587720333,0,0.0675614902211918,0,0,0,0,0,0,-0.211767749642944,-0.246027296710147,0,0,0,0,0,0,0,0,0.107576552723858,0,0,0,0,0.0750881908950195,0,0,0,0.153206289619448,-0.199364198190417,0,0,0,-0.0231273380374083,0,0
Slope,0,0,0,0,0,0,0,0.243082637488688,0,0,0,0,0,0,0,0,-0.402212059789314,0,0,0,0.105313924296356,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.13914211861302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126381888379431,0.146211930949776,0,0.678421018320415,0,0.813787518109445,0.174557791897795,0,0,-0.0383087485839073,0,0
TED,0,0,0,0,0,0,0,0.0990999297755073,0,0.0930086793522285,0,0,0,0,0,0,0,-0.0443088321600765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148957985385098,0.0647237547716746,0,0,0,0.0473891929851196,0.0327203559933059,0,-0.279179301797449,0,0,0.895843646315502,0,0,0,0,0.128382048895379,0,0
RealEstate_excess,0.0876987931209342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398136294985737,0,0,0,0,0,0,0,0,0,0,-0.0476152066426079,0,0,0,-0.0286922188288694,0,0,0,0,-0.0119861655575197,0,0,0,0,0,0,0,0.0867475963518476,0,0,0,0,0,0.0457388423824756,0,0,0.0687260727249498,-0.076341679706038,0,0,0,0.0158649958402975,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292640447759128,0,0,0,0,0.0140649829962428,0,0,0,0,-0.0437474586682638,0,0,0,-0.0140184074107454,-0.0146160521545223,0,0,0.131406082806143,0,0,-0.139896975256258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00784590052458718,0,0,0,0,0.0286782211856306,0,0
MKvol,0,0,0,0,0.00374140392090294,0,0,0,0,0,0.00241371591871831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444053990229013,0.0014598083075576,-0.00288489917098025,-0.00216024583939088,0,0,0,0,0,-0.00132141136467536,0,0,0,0,0,-0.000831243146996965,0,0,0,0,-0.00126500022933884,0,0,0,0,0,0.0093825624870951,-0.0079973554302412,0,0,0,-0.000520115584878675,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,-0.346372329508326,-0.141583274712324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121790927135362,0.247767786371245,0,0.0662203527433568,0,0.29915645447137,0,0,0,-0.0388256449724501,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,-0.82292513813347,0.28201765607636,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0.00691715356891359,0,0,0,0,0.00423098032707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000473259641161854,0,0,0,0,0,0,0,0,0,0,0,0,0.01237214604286,0,0,0,0,-0.000786335917126459,0,0.0219170285594137,-0.0113162465929902,0,0,0,-0.0248853447930864,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317452804598083,0,0,0,0,-0.0114836363254539,0,0
