,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600157.SH,X600886.SH,X600111.SH,X600362.SH,X600547.SH,X600188.SH,X601992.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X601158.SH,X600489.SH,X600583.SH,X000709.SZ,X000883.SZ,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X002460.SZ,X002407.SZ,X000723.SZ,X000027.SZ,X002470.SZ,X000630.SZ,X600549.SH,X600021.SH,X600176.SH,X600098.SH,X002075.SZ,X000012.SZ,X000983.SZ,X000629.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166195547104895,0,0,0,0.16772338113393,0,0,0.100069290143583,0.288594979386407,0,0,0.0504422394938347,0,0,0,0,0.522650020350121,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0688498173485922,0,0,0,0.0329919186423884,0,0,0.0257581688291093,0,0,-0.0127314803346343,0,0,0,0,0,0,0
X000629.SZ,0,0,0.342069423105363,0,0,0,0,0.120087724566025,0.267655007178443,0,0,0,0,-0.0716409330347873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.226553571418377,0,0,0,0,0,0.103148502956068,0,0,0,0.219731474970639,0,0,0,0,0,0.0369217140009062,0,0,0,0,0.0108114558777752,0,0,0,0,0,0
X600612.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011862595603142,0,0,0.111869525210948,0,0,0,0,0,0,0,0,0,0.178815589498626,0.104216832339701,0,0,0,0.0248596838548741,0,0,0.0208328406474369,0,0,0,0.062003844848767,0,0.0221631514979964,0,0,0.028967718490343,0,0,0,0,0,0,0.0614036966138162,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0.00219439049259942,0,0,0,0,0,0,0.089472592472004,-0.0384712379576937,0,0,0,0,-0.0367740591791897,0.044231934428558,0,0,0,0,0,0,0,0,-0.0868572564717677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443901582465911,0,0.0625922458943848,0,0,0,0.0407739966750874,-0.206297894790567,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233512711402446,-0.493808099365587,1.73472347597681e-18,0,0,0,0,0.577049196686413,0,0,0,0,0,0,-1.58094712467761,0,0,0,1.45166260360676,0,0,0,0.60594742367457,-0.0806085876325832,0,0,0,0,0,0,0,0,-1.20853058181233,-0.728579234699153,0,0,0,0,0,0.30305369576929,0,0,0,0,0,0
TED,0,0,0,0,0,0.0901929554749485,0,0,0.2857866779136,0,0,0,0,-0.0929848041889831,0.06128294444291,-0.139293272479968,0,0,0,0.114313087163263,0,0,0,0,0,0,0,0,-0.0986463118233176,0,0,-0.292383776887078,0,0,0,0,0,0.0136916796600784,0,0,0,0,0,0,0,0,0,0,0,0,-0.545973429887874,0.62540154804794,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0.0658992265141311,0,0,0,0,0,0,-0.0306985958233112,0,0,0,0,-0.0858679556414715,0,0,0.0518203030466902,0,-0.211850890483085,0,0,0,-0.0918711955497661,0,0,0,0,0,0,0,0.0356179357184078,0,0,0,0,0,0,0,-0.106411463202623,0,0.0811624548399696,0,0.052874314870526,0,0,0,-0.0769417831870611,0,0,0.150420422639472,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351948924130669,0,0,0,0,0,0,0,0,0,-0.0386954809252007,0,0,-0.0558225521625362,0,0,0,-0.0139752364509833,0,0.0191800061713094,0,0,0.0478627287055753,0,0,0,-0.074039245600392,0,0,0,0,0,0.16617494036925,0,0,-0.122384615990566,-0.0562677128738874,0,0.0505272786872494,0,0.697692194702483,0,0,0,0,0
MKvol,0,0,0,0,0,0,0.0107419845170316,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.00119956028746133,0,0,-0.00151985482240848,0,0,0,0,0.00762509906216783,0,0.0162736727170696,0,0,0,-0.00266608064794769,0,0,0,0,0,0,0,0,0,-0.0131519816628818,0,0,0,0,0,0.00632727755906357,0.0410693514697611,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0.0123425591662004,0,0,0,0,0,0,0.00642479459813803,0.00475839137240918,0,0,0,0,0.0483001254007632,0,0,0,0,-0.000646532365521961,0,0,0,0,0,0,0,0,0,0,0.00509714649637232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307494934124762,-0.0681758071440251,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0.00024791464795867,0,0,0,0,0,0.00232121613387216,0,0,0,0,0.00675140353727193,0.00577298966987042,0,0,0,0,-0.0104161283537111,0,0,0,0,0,0,0,0,0,0,0,-0.000731729476492556,0,0,0,0,0.00671152345094846,0,0,0,-2.16840434497101e-19,0,-0.0131983597438457,0,0,0,-0.00828917146235506,-0.0313336842970928,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0.010040851674805,0,0,0,0,0,0,0,-0.0060419206454558,0,0,0,0,0,0,0,0,0,0,0.00953101374721581,0,0,0,0,0,0.00285880289538418,0,0,0,-0.0132886148359376,-0.00440167852583877,0,0,0,-0.0288346311633066,0,0,0,0.00396237499982924,0,0,0,0,0,-0.0282626729293696,0.0536694241616249,0,0,0,0,0,0
