,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000539.SZ,0,0,0,0,0,0,0.0482480944544685,0,0,0,0,0,0,0,0,0,0,0.0942829094721795,0,0,0.0909914077954008,0,0.00916738623763134,0,0,0,0,0,0,0,0.0825481117219274,0,0,0,0,0.0212283471312833,0,0.185894479538777,0,0,0,0,0,0,0,0.187153163841661,0,-0.028683387946186,0,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,-0.0616181914793337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213199387666688,0,0,-0.220983737078545,0.0491705890815889,0,0,0,0,-0.582140028051211,0,0,0.288915748551165,0,0,-0.137537391608706,0,0,0,0,0,0,0,0,0,0,-0.340757197111349,0.230865499709248,0
X000630.SZ,0,0,0,0,0,0,0.00878842648883134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045333631533322,0,0.105396653140274,0,0.0807370894174726,0,0,0.0563396255351489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000210002888769532,0,0,0,0,0.0122705015850365,0,0
X601699.SH,0.180232894379861,0.114830488933858,0,0,0,0,0,0.288933818370595,0,0,0,0,0,0,0.0257835701632029,0,0,0,0,0,0,0,0,0.168916834370551,0,0.033550486764985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663286076934382,0,0,0,0,0,0,0.0338312988092822,0,0,-0.0688441340507708,0.0153197652194181,0.0232681328322618,0,0,0,0.0527051727743584,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0.00182192546371579,0,0,0.203801849817737,0,0,0,0.321766870721367,0,0,0,0.00205898900766388,-0.0357333082585284,0,0,-0.130512060978937,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,-0.117075908484842,0.0957707098920071,0,0,0,-0.019000196037748,0,0,0,0,0,0.0358096199336895,-0.155763050172925,0,0,0,0,0,0
Slope,0,0.224685651324327,0,0.00571435813233451,0,0,0,0,-1.04021137240434,0,0,0,0,0,0,-1.31457408544639,0,0,0,0,0.740459524097337,0.102452835573948,-0.264177338266915,-0.316082550520252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02664533489114,0,0.800756723026826,0.493113594700818,0,0,-2.50362545168475,-4.6814329058197,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31808179978305,0,0,0,0,0,0,0,0,0,0.472086756536472,0,0,-0.6954087512814,0,0,0,1.73472347597681e-18,0,-0.874955710470287,0,0,0,0,0,0,0,0,0.340204180114343,-0.845809394045819,0,-0.383421437375657,0,0,0.327185059101265,0,0,-0.283041388245231,0.307457896855651,0,0,0,0,0.210269442622108,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104823167917056,0,0,-0.0530732172797282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125965424206137,0.0782792828944762,0,0,-0.0378946066276122,0,0,0,0,0,0.0208727225064088,0,0,0,0,0.0656067783215527,0,0
MKreturn,0,0,0,0,0,0,0.0175823720269589,-0.133479039161133,0,0,0,0,0,0,0,0,0,0,0.0148458661264735,0,-0.0910797957821968,0,0,0,0,0,0,0,0,0,-0.0444321585589518,0,0,0,0,-0.121874071207922,0,0,0,0,0,0,0.0688051098906692,0.0978300575337667,0,-0.0643361979777215,0,0.0408560518735392,0,0,0,0.021515846298971,-0.000499819434534242,0,0,0,0.0896398134320039,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027344221491852,0,0,0,0,-0.00195382799716456,0,0,0,0,0,0,0,0,0,0,0,0.000952718456898305,0,0,0,-0.00102021606345747,0,0,0,0,-0.00261380247478769,0.0846788827153455,0
